lat,lon,DETLOC
29.987328,-95.342219,IAHSFTX
34.350463,-86.312056,DEKABAL
32.793377,-117.154272,JHALLCA
36.926409,-79.096248,NHSPCON
34.584701,-112.436111,YAVCVAZ
42.017432,-72.591981,CTROBCI
36.090703,-78.32025,FRANKNC
38.796237,-104.795312,CODCCSP
30.52336,-91.180731,EBATOLA
42.028027,-72.501359,CTNRNCI
42.139834,-83.178207,TRENTMI
53.871319,-166.541061,DUTCHAK
45.784022,-108.509485,BILHOLD
33.981397,-83.97527,GWINNGA
44.860114,-93.230838,SPMHOLD
40.54789,-74.226573,NYARTHC
32.585472,-90.045389,MADISMS
33.429612,-112.122672,MCESTAZ
39.841361,-105.483078,GILPICO
37.99687,-122.529444,MARINCA
35.40948,-80.578092,CBRRSNC
39.989002,-75.399586,FRACOVT
37.48774,-122.232357,SMATECA
38.695637,-80.657354,CENTRWV
30.673516,-96.371178,BRAZOTX
31.337459,-94.727097,LUFKNTX
31.592504,-102.889923,WARCOTX
30.269235,-97.739695,AUSHOLD
43.548703,-96.724368,SFDHOLD
32.515898,-93.749405,USMWDLA
37.084185,-84.624663,PULASKY
30.005964,-91.81835,IBERILA
34.054191,-118.240207,BOPLOS
28.038934,-97.510444,SANPATX
43.808803,-99.333112,BRULESD
32.096092,-96.468277,NAVARTX
40.428702,-79.969405,PITHOLD
42.251525,-78.800673,CATTANY
40.279789,-86.49664,CLINTIN
44.796378,-93.527667,SCOTTMN
31.043081,-104.830975,CULBETX
33.622887,-97.147044,COOKETX
33.652546,-117.912111,COSTACA
41.059716,-94.361562,UNIONIA
48.840519,-95.767949,ROSEAMN
41.152704,-100.759522,LINCONE
39.088616,-84.50895,KENTOKY
57.051998,-135.33359,SITKAAK
37.967369,-100.87641,FINNEKS
33.155082,-94.970512,TITUSTX
40.733605,-73.981013,ISHOSNY
42.933853,-78.540656,NYBUFFC
30.639947,-97.680002,WILLITX
30.358683,-103.664263,BREWSTX
40.148123,-111.656788,PRUHOLD
48.79388,-97.62231,PEMBIND
41.136779,-104.819386,CHYHOLD
41.263674,-79.434105,CLARIPA
42.29645,-83.346869,MIWPRPH
40.078833,-102.220652,YUMAJCO
43.047041,-87.908473,MILHOLD
30.306837,-104.019674,PRESITX
47.198962,-114.890816,MINERMT
42.325454,-122.876815,MEDHOLD
42.887582,-85.859028,OTTAWMI
29.488584,-98.526053,BRIJUTX
36.508925,-86.881771,ROBERTN
38.284302,-85.824698,FLOYDIN
46.14743,-122.915414,COWLIWA
33.427069,-112.124006,MCTOWAZ
46.355789,-94.205239,CROWGMN
48.357504,-107.877744,PHILLMT
48.827263,-100.442152,BOTTIND
40.702608,-111.922735,SLOXBUT
44.303003,-96.793566,BROOKSD
32.683286,-97.285835,BOPFTW
28.468655,-82.579552,ESCAMAL
45.755378,-108.502314,YELLOMT
43.014366,-71.510862,NHSPWOM
31.421863,-100.463993,SAGHOLD
37.237201,-107.87391,DURHOLD
37.491108,-86.25848,GRYDCKY
42.809773,-73.939627,SCHNENY
34.059719,-118.125826,MTPPDCA
42.221916,-121.750458,KLAMCOR
33.427067,-112.129066,DURJFAZ
26.673068,-80.092157,PALMBFL
36.072718,-79.793162,USMMDNC
46.463339,-84.249123,SSMHOLD
